Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,wOBA,wRAA,G,P,PA,AB,BA,OBP,SLG,OPS,ISO,K%,BB%,K/BB,HR%,R/G,AB/HR,BABIP,OutRate,WOBA,SB%,wRC,wRC_per_PA,wRC_plus,wRC_plus_scaled
19,1898890507,C. Dulin,Caden Dulin,Dulin,Caden,2B,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,0.393,12.8,48,817,218,184,0.337,0.421,0.478,0.9,0.141,11.0%,11.9%,0.92,1.8%,0.83,46.00,0.365,62.3%,0.393,66.7%,40.439,0.1855,17.209373711525842,95.08565554621883
20,1556185939,A. Hernandez,Alex Hernandez,Hernandez,Alex,TWP,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,0.431,24.0,59,1045,270,230,0.335,0.415,0.609,1.024,0.274,18.1%,11.9%,1.53,5.9%,0.8,14.38,0.359,61.8%,0.431,83.3%,58.635,0.21716666666666665,20.22670296738721,137.8705559720206
21,1314887424,D. Burress,Drew Burress,Burress,Drew,CF,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,0.481,37.4,60,1165,290,228,0.333,0.469,0.693,1.162,0.36,14.5%,18.3%,0.79,6.6%,1.28,12.00,0.337,63.9%,0.481,90.9%,75.06166666666665,0.2588333333333333,24.234365802636255,176.49516015212447
21,1101830656,J. Ference,Jacob Ference,Ference,Jacob,C,University of Virginia,UVA,5415,Virginia,BBC,R,R,0.454,16.9,39,677,157,126,0.333,0.465,0.595,1.06,0.262,21.7%,14.0%,1.55,5.7%,0.85,14.00,0.398,57.8%,0.454,90.0%,37.10433333333334,0.23633333333333334,22.1021452886894,87.24473549309873
23,1310362624,J. Ogden,Jake Ogden,Ogden,Jake,SS,University of Miami,MIA,236,Miami,BBC,R,R,0.388,15.7,62,1061,286,253,0.332,0.399,0.494,0.893,0.162,14.3%,8.0%,1.78,3.1%,1.02,28.11,0.373,59.8%,0.388,92.9%,51.86133333333333,0.18133333333333332,16.827324568008812,121.94339319718512
24,1232240129,A. Madera,Alex Madera,Madera,Alex,SS,University of North Carolina,UNC,730181888,North Carolina,BBC,L,R,0.375,12.0,61,1020,272,226,0.332,0.432,0.403,0.834,0.071,12.9%,14.7%,0.88,0.7%,0.72,113.00,0.38,59.9%,0.375,92.9%,46.376,0.17049999999999998,15.749578784380674,109.04553430132901
25,1155638528,T. Becerra,Temo Becerra,Becerra,Temo,SS,Stanford University,STAN,730251264,Stanford,BBC,R,R,0.352,5.7,52,817,220,185,0.33,0.384,0.427,0.811,0.097,12.7%,7.3%,1.75,0.5%,0.52,185.00,0.37,60.5%,0.352,57.1%,33.29333333333332,0.1513333333333333,13.928723169407412,78.28379597217483
26,1888313665,K. Lodise,Kyle Lodise,Lodise,Kyle,SS,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,0.455,28.7,55,1036,266,219,0.329,0.429,0.667,1.095,0.338,17.7%,12.8%,1.38,6.0%,1.24,13.69,0.348,62.1%,0.455,100.0%,63.086333333333336,0.23716666666666666,22.127287762708846,148.33713397975413
27,1237355776,J. Hogue,Josh Hogue,Hogue,Josh,LF,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,R,0.404,16.7,55,845,248,217,0.327,0.391,0.562,0.953,0.235,13.7%,9.7%,1.42,4.4%,0.8,19.73,0.339,65.0%,0.404,100.0%,48.27733333333334,0.19466666666666668,18.071685046240255,113.51620683061702
28,1746936435,M. Bailey,Myles Bailey,Bailey,Myles,1B,Florida State University,FSU,101,Florida State,BBC,L,R,0.463,28.1,56,975,245,202,0.327,0.441,0.663,1.104,0.337,31.0%,13.1%,2.38,7.8%,0.89,10.63,0.435,55.6%,0.463,80.0%,59.73916666666667,0.24383333333333335,22.80720183360036,140.46682223311223
